"epa-c-25400117", "EPA c" , "SE-259E CAM KIT Developed specifically for big displacement Twin Cam engines, this cam has a modern lobe design that allows for higher valve lifts for a given duration. A high-lift version of the SE-211 camshaft, this cam works great with 103 cubic inch and larger engines with free-flowing intake and exhaust. It can be used with stock heads (updated with race springs) and high-compression pistons for even more torque than a SE-211 cam or can be coupled with any of the performance heads to realize the full power potential. 50-State U.S. EPA compliant. SE-585 CAM KIT This cam is a great match for riders of heavy Touring bikes looking for big torque at the low end. Just a quick downshift to fourth gear results in an effortless pass of that slow moving tractor-trailer ahead of you. This cam provides an early hit of torque at the low end of the RPM spectrum. A unique combination of lift, cam lobe duration and an enhanced cam profile ramp provides a performance boost you can feel. The cam's QRD (Quiet Ramp Design) delivers high torque throughout the RPM range while reducing valve train noise. 50-State U.S. EPA compliant. 25400117 $329.95 For use on '14-'16 Touring models with the use of a 58mm Throttle Body. Also fits '14-'16 CVOTM Touring models with or without the use of a 58mm Throttle Body. Does not fit Trike models. Installation requires separate purchase of Performance Valve Spring Kit P/N 1801303A. All models require ECM calibration for proper installation. Labor cost not included. See Dealer for details.", "Harley Davidson", "" , "Tags", "", "Title", "Default Title", , , , , "25400117", ,,,,,scale=2;25400117 $329.95 For use on '14-'16 Touring models with the use of a 58mm Throttle Body. Also fits '14-'16 CVOTM Touring models with or without the use of a 58mm Throttle Body. Does not fit Trike models. Installation requires separate purchase of Performance Valve Spring Kit P/N 1801303A. All models require ECM calibration for proper installation. Labor cost not included. See Dealer for details.-,25400117 $329.95 For use on '14-'16 Touring models with the use of a 58mm Throttle Body. Also fits '14-'16 CVOTM Touring models with or without the use of a 58mm Throttle Body. Does not fit Trike models. Installation requires separate purchase of Performance Valve Spring Kit P/N 1801303A. All models require ECM calibration for proper installation. Labor cost not included. See Dealer for details.
"epa-c-25400125", "EPA c" , "SCREAMIN' EAGLE PERFORMANCE II SE-585 CAM KIT SPORTSTER The high-lift full throttle cam kit provides significant horsepower gains when coupled with high-flowing exhaust and intake components, and is a great fit for full-throttle horsepower junkies. 50-State U.S. EPA compliant. 25400125 $324.95 Fits '14-later XL1200 models. Requires installation of Performance Cylinder Heads P/N 16500074 or 16500347, or upgrade of Original Equipment heads with Performance Valve Spring Kit P/N 18013-03A. All models require ECM calibration for proper installation. '17-later models require recalibration with Screamin' Eagle Pro Street Tuner (sold separately).", "Harley Davidson", "" , "Tags", "", "Title", "Default Title", , , , , "25400125", ,,,,,scale=2;25400125 $324.95 Fits '14-later XL1200 models. Requires installation of Performance Cylinder Heads P/N 16500074 or 16500347, or upgrade of Original Equipment heads with Performance Valve Spring Kit P/N 18013-03A. All models require ECM calibration for proper installation. '17-later models require recalibration with Screamin' Eagle Pro Street Tuner (sold separately).-,25400125 $324.95 Fits '14-later XL1200 models. Requires installation of Performance Cylinder Heads P/N 16500074 or 16500347, or upgrade of Original Equipment heads with Performance Valve Spring Kit P/N 18013-03A. All models require ECM calibration for proper installation. '17-later models require recalibration with Screamin' Eagle Pro Street Tuner (sold separately).
"-25400199", "" , "SCREAMIN' EAGLE PERFORMANCE CAMS 2 Cams fit '18-later Softail and '17-later Touring models. Requires separate purchase of Cam Drive Retention Kit P/N 25566-06. Installation may require Cam Spacer Kit P/N 25928-06. All models require ECM calibration with Screamin' Eagle Pro Street Tuner for proper installation. SCREAMIN' EAGLE SE8-447 CAM TORQUE Enhanced torque in the low to mid RPM band Ideal for a fully-loaded bike Increased horsepower in the mid RPM range Responds well to roll-on throttle application Crisp throttle response and acceleration at lower speeds Can be used with stock valve springs", "Harley Davidson", "" , "Tags", "", "Title", "Default Title", , , , , "25400199", ,,,,,scale=2;25400199 $189.95-,25400199 $189.95
"oil-cooler-cover-25700007", "OIL COOLER COVER" , "OIL COOLER COVER CHROME OIL COOLER COVER GLOSS BLACK Dress the Touring Oil Cooler in style. This Chrome Oil Cooler Cover is designed to hug the contours of the cooler body while allowing complete airflow across the surface. Includes required mounting hardware.", "Harley Davidson", "" , "Tags", "", "Title", "Default Title", , , , , "25700007", ,,,,,scale=2;25700007 Fits '09-'10 Touring and Trike models. 63121-11A Fits '11-'16 Touring and Trike models (except models equipped with Twin-CooledTM engines). $59.95 $59.95-,25700007 Fits '09-'10 Touring and Trike models. 63121-11A Fits '11-'16 Touring and Trike models (except models equipped with Twin-CooledTM engines). $59.95 $59.95
"inner-primary-coverchrome-25700337", "INNER PRIMARY COVERCHROME " , "Because all components in this cover are exactly like the Original Equipment part, you can be sure this cover will match your outer cover, right down to the high-quality chromeplating. It completes the look of your powertrain without the hassle of troublesome exchange programs. This cover includes all bearings, dowel pins and seals already installed, to ensure Harley-Davidson quality. Requires separate purchase of model-specific Primary Cover Gasket and O-Ring. It's the details that count. This gasket kit eliminates the silver shadow line you see between the engine and primary. It's the perfect finishing touch any time the primary has been removed for engine service or during the installation of other accessories. Comprehensive kit contains all gaskets and hardware required to reinstall the primary.", "Harley Davidson", "" , "Tags", "", "Title", "Default Title", , , , , "25700337", ,,,,,scale=2;25700337 $61.95 Fits '06-'17 Dyna, '07-'17 Softail, and '07-'16 Touring and Trike models.-,25700337 $61.95 Fits '06-'17 Dyna, '07-'17 Softail, and '07-'16 Touring and Trike models.
"inner-primary-cover-trim-25700631", "INNER PRIMARY COVER TRIM" , "Get the look of a custom inner primary cover without tearing apart the drive train. Designed to wrap the top surface of the wrinkle-painted inner primary cover, this die-cast shell provides a beefy finished look to the engine cases. Easy to install, the cover is secured with the outer primary hardware, and held in place at multiple points for quiet operation. Available in your choice of brilliant chrome or gloss black finish, the complete kit includes matching mounting hardware.", "Harley Davidson", "" , "Tags", "", "Title", "Default Title", , , , , "25700631", ,,,,,scale=2;-,
"cylinder-base-coverchrome-25700632", "CYLINDER BASE COVERCHROME" , "Add a finished chrome look to the left side of your MilwaukeeEight engine. Shaped to cover the connection of the engine to the primary cover, this trim piece is formed to seamlessly fill the area from the top of the primary to the bottom of the cylinder fins. This easy-to-install kit includes all necessary mounting hardware.", "Harley Davidson", "" , "Tags", "", "Title", "Default Title", , , , , "25700632", ,,,,,scale=2;25700632 Fits '17-later Touring and Trike models. $74.95-,25700632 Fits '17-later Touring and Trike models. $74.95
"fan-assisted-oil-25700633", "FAN ASSISTED OIL" , "Keep your cool. This easy to install Oil Cooler features a thermostatically controlled fan that provides continuous flow of cooling air even while the bike is idling in traffic or moving at low speed. Ideal for bikes that see parade duty and other low speed or continuous idle situations, the Fan Assisted Oil Cooler is also the perfect addition to a bike modified with high performance components. The fan automatically engages when the engine oil temperature rises, and when in operation, the Fan Assisted Oil Cooler can provide up to a 50 degree drop in oil temperature. And unlike other models, the HarleyDavidson Fan Assisted Oil Cooler utilizes weather-rated fans and electronics that are designed for the harsh motorcycle environment. Engineered as a bolt-on replacement for the Original Equipment oil cooler, the Fan Assisted Oil Cooler is plug-and-play compatible with your bike's wiring harness. No splicing or rewiring is required. SPLITSTREAM VENT TRIM VIVID BLACK SPLITSTREAM VENT TRIM SPLITSTREAM VENT TRIM Dress the Touring oil cooler in style. This Oil Cooler Cover is designed to hug the contours of the cooler body and does not interfere with the engine guard or voltage regulator. The forward-facing mesh screen adds a custom touch, and protects the oil cooler fins from road debris without disturbing the airflow across the surface. Available in your choice of chrome or gloss black finish, the easy-to-install cover kit includes all required mounting hardware.", "Harley Davidson", "" , "Tags", "", "Title", "Default Title", , , , , "25700633", ,,,,,scale=2;62700204 $329.95 Fits '17-later Touring models equipped with air/oil-cooled Milwaukee-Eight engines. Does not fit models equipped with Twin CooledTM engines. Not compatible with Oil Cooler Cover P/N 25700633 or 25700634. Original Equipment on oil-cooled Police and Freewheeler models.-,62700204 $329.95 Fits '17-later Touring models equipped with air/oil-cooled Milwaukee-Eight engines. Does not fit models equipped with Twin CooledTM engines. Not compatible with Oil Cooler Cover P/N 25700633 or 25700634. Original Equipment on oil-cooled Police and Freewheeler models.
"gauge-bezel-kitgloss-25700648", "GAUGE BEZEL KITGLOSS" , "INNER FAIRING TRIM CARBON FIBER DESIGN Complete the custom look of the inner fairing. These aluminum Gauge Bezels feature a rich gloss black surface, and are machined to cover the bright bezel that surrounds the Original Equipment gauges. The easy to install gauge bezel kit includes Speedometer and Tachometer bezels and auxiliary gauge bezels. 61400399 4-Bezel Kit. $199.95 Fits '14-later Electra Glide, Street Glide, Ultra Limited, Road Glide and Tri Glide models. E. FORK LOCK AND IGNITION SWITCH GLOSS BLACK It's the details that count. When you've completed your sinister blacked-out inner fairing, console and handlebar installation, the one remaining component that still stands out is the chrome fork lock and ignition switch. These Gloss Black Ignition Switch Components replace the factory-installed chrome parts and blend into the black surroundings for a seamless look. GAUGE BEZEL KIT GLOSS BLACK", "Harley Davidson", "" , "Tags", "", "Title", "Default Title", , , , , "25700648", ,,,,,scale=2;25700648 $39.95 Fits '15-later FLTRX, FLTRXS, FLTRXSE and FLTRU models.-,25700648 $39.95 Fits '15-later FLTRX, FLTRXS, FLTRXSE and FLTRU models.
"pushrod-cover-kitgloss-25700653", "PUSHROD COVER KITGLOSS" , "FRONT ENGINE MOUNT COMPONENTS BLACK Complete the Dark Custom look. These covers replace existing chrome covers to give your bike a blacked-out appearance down to the smallest detail. Pushrod covers are finished in gloss black and the kit includes the four bottom cover tubes and the four upper clips. Installation retains the Original Equipment chrome short center tube to create a high-contrast accent. Cover Kit can be installed on engines already equipped with Adjustable Pushrods or can be installed by removing rocker box covers, rocker arms and non-adjustable pushrods. Consult your dealer or service manual for installation. 17900033 Covers Only. $64.95 Fits '99-'17 Twin Cam-equipped models. Requires prior installation of Adjustable Pushrods or removal of rocker box covers, rocker arms and fixed-length pushrods. D. PUSHROD COVER KIT GLOSS BLACK E. PUSHROD TUBE COLLARS GLOSS BLACK Manufactured from Original Equipment components for perfect fit and function, these Pushrod Collars complete your Twin Cam engine's conversion to the total blacked-out look. Covers replace the chrome-finished factory covers, and fit with stock or Screamin' Eagle Quick-Install Pushrods. Complete your Twin Cam engine's conversion to a total blacked-out look. These textured black tappet blocks replace the stock bright-finished components for a sinister appearance, and are manufactured from Original Equipment components for perfect fit and function.", "Harley Davidson", "" , "Tags", "", "Title", "Default Title", , , , , "25700653", ,,,,,scale=2;25700653 $79.95 Fits '99-'17 Twin Cam-equipped models. Sold in pairs.-,25700653 $79.95 Fits '99-'17 Twin Cam-equipped models. Sold in pairs.
