epa-c-25400117, EPA c , SE-259E CAM KIT Developed specifically for big displacement Twin Cam engines this cam has a modern lobe design that allows for higher valve lifts for a given duration. A high-lift version of the SE-211 camshaft this cam works great with 103 cubic inch and larger engines with free-flowing intake and exhaust. It can be used with stock heads (updated with race springs) and high-compression pistons for even more torque than a SE-211 cam or can be coupled with any of the performance heads to realize the full power potential. 50-State U.S. EPA compliant. SE-585 CAM KIT This cam is a great match for riders of heavy Touring bikes looking for big torque at the low end. Just a quick downshift to fourth gear results in an effortless pass of that slow moving tractor-trailer ahead of you. This cam provides an early hit of torque at the low end of the RPM spectrum. A unique combination of lift cam lobe duration and an enhanced cam profile ramp provides a performance boost you can feel. The cam's QRD (Quiet Ramp Design) delivers high torque throughout the RPM range while reducing valve train noise. 50-State U.S. EPA compliant. 25400117 $329.95 For use on '14-'16 Touring models with the use of a 58mm Throttle Body. Also fits '14-'16 CVOTM Touring models with or without the use of a 58mm Throttle Body. Does not fit Trike models. Installation requires separate purchase of Performance Valve Spring Kit P/N 1801303A. All models require ECM calibration for proper installation. Labor cost not included. See Dealer for details., Harley Davidson,  , Tags, , Title, Default Title, , , , , 25400117, ,,,,,280.46,329.95
reach-seat-52000012, REACH SEAT  , Designed to position riders with a shorter inseam closer to the ground Reach Seats are shaped to place the rider in a comfortable and confident relationship to the hand and foot controls. The wide seating surface provides loads of support while riding and the narrow tapered nose brings your legs together for an easier reach to the ground at a stop. Reach Seats feature a stepped profile that provides back support and keeps the rider from sliding back during acceleration. A. REACH SEAT Designed specifically for riders requiring a close to the bar riding position this seat positions the rider approximately 1.0 forward and the narrow front profile brings your legs closer together to help you plant your feet firmly on the ground. The seat features a textured vinyl insert and a Bar & Shield logo that shows you are riding in style. REACH SEAT REACH SEAT BLACKLINETM & SOFTAIL SLIM The Reach forward position seat is designed to move riders 1.25 closer to the hand and foot controls. The scooped bucket-shape saddle provides a wide seating surface and added back support for long-range touring while the narrow tapered front profile brings your legs 1.0 closer together to help your feet rest firmly on the pavement when stopped., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000012, ,,,,,297.46,349.95
sundowner-solo-seat-52000015, SUNDOWNER SOLO SEAT , Ride solo on your Dyna motorcycle in Sundowner comfort and style. This unique seat combines the deep bucket design and added back support of the two-up seat with the strippeddown look of a solo saddle. Matching passenger pillion is available for added versatility. SUNDOWNER SEAT (SHOWN WITH SMOOTH BUCKET PASSENGER BACKREST PAD) Bring someone along for the ride without giving up your solo status. This carefully styled pillion matches Dyna Sundowner Solo Seat and provides your passenger with that great Sundowner comfort. SIGNATURE SERIES SEAT WITH RIDER BACKREST A perfect combination of foam density and shape has created our most comfortable seat for long-haul touring. Both rider and passenger will be extra comfy riding to Sturgis and back with the wide-seating area. When you reach your destination city driving will be easier with the narrow nose that helps keep your legs closer together. Seat features an easily removable adjustable rider backrest that folds down for easier passenger mounting. Rider backrest has a 5-position height adjustment with 1.5 range and a wide range of forward/back angle adjustment with a quick twist of the control knob., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000015, ,,,,,467.46,549.95
sundownertm-rider-seat-52000048, SUNDOWNERTM RIDER SEAT , The SundownerTM Seat provides the ultimate in long-riding comfort. The deep bucket design places your body in the proper upright touring position and the generous padding keeps you comfortable as the miles add up. The contoured seating surface distributes your weight over a wider surface to reduce pressure points and the dished shape provides added rider back support. Available to fit many models Sundowner Seats retain the Original Equipment pivot mounting for easy access to the fuel filler. Styled to match the Original Equipment passenger pillion this rider touring seat features a contoured bucket that provides additional lower back support. Designed for the long haul this touring seat and passenger pillion combination continues the comfort tradition of the Sundowner line. With both the rider and passenger in mind this seat features a deep contoured rider position to provide added lower back support and a wide passenger pillion for superior passenger comfort. D. SUNDOWNER RIDER SEAT 52000048 SHOWN, Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000048, ,,,,,212.46,249.95
sundownertm-rider-seat-52000049, SUNDOWNERTM RIDER SEAT , The SundownerTM Seat provides the ultimate in long-riding comfort. The deep bucket design places your body in the proper upright touring position and the generous padding keeps you comfortable as the miles add up. The contoured seating surface distributes your weight over a wider surface to reduce pressure points and the dished shape provides added rider back support. Available to fit many models Sundowner Seats retain the Original Equipment pivot mounting for easy access to the fuel filler. Styled to match the Original Equipment passenger pillion this rider touring seat features a contoured bucket that provides additional lower back support. Designed for the long haul this touring seat and passenger pillion combination continues the comfort tradition of the Sundowner line. With both the rider and passenger in mind this seat features a deep contoured rider position to provide added lower back support and a wide passenger pillion for superior passenger comfort. D. SUNDOWNER RIDER SEAT 52000048 SHOWN Designed to position riders with a shorter inseam closer to the ground Reach Seats are shaped to place the rider in a comfortable and confident relationship to the hand and foot controls. The wide seating surface provides loads of support while riding and the narrow tapered nose brings your legs together for an easier reach to the ground at a stop. Reach Seats feature a stepped profile that provides back support and keeps the rider from sliding back during acceleration. Reach Seats retain the Original Equipment pivot mounting for easy access to the fuel filler. This low-profile Reach Rider Seat moves the rider forward for improved access to the hand and foot controls and minimizes the leg stretch to the ground at a stop or while parking the bike. The seat is styled to match the Original Equipment passenger pillion., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000049, ,,,,,203.96,239.95
low-profile-solo-touring-52000057, LOW-PROFILE SOLO TOURING , LOW-PROFILE SOLO TOURING SEAT BLACK DIAMOND Swathed in textured black vinyl this Low Profile Solo Seat features a custom diamond-pleated seating surface highlighted with double-row toast-colored accent stitching. The rich materials add an elegant finish to your custom bagger. LOW-PROFILE SOLO TOURING SEAT BLACK DIAMOND (SHOWN WITH LOW-PROFILE PASSENGER PILLION) LOW-PROFILE SOLO TOURING SEAT MAHOGANY BROWN Finished with a rich textured mahogany-brown vinyl and upholstered in a custom diamond-pleat pattern with complementing double-row gold stitching this Low Profile Solo Seat brings a non-traditional look to your Touring model., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000057, ,,,,,305.96,359.95
sundowner-solo-seatfxsb-52000098, SUNDOWNER SOLO SEATFXSB , SUNDOWNERTM BLACKLINE & SOFTAIL SLIM The SundownerTM Seat provides the maximum in long-riding comfort. The deep-bucket design puts your body in the proper touring position and the generous padding makes it comfortable for both the rider and passenger as the miles are adding up. The dished shape provides added rider back support and the wide passenger pillion is shaped to minimize pressure points. The smooth vinyl cover features elegant top-stitching to complement most Harley-Davidson saddlebags and luggage. SUNDOWNER SEAT BLACKLINE & SLIM The Sundowner Seat provides the maximum in long-riding comfort. The deep-bucket design puts your body in the proper touring position and the generous padding makes it comfortable as the miles are adding up. The dished shape provides added rider back support and the wide profile is shaped to minimize pressure points. This Sundowner Solo Seat is styled to match the Softail Breakout model's Original Equipment seat and features a textured vinyl inlay and Harley-Davidson medallion insert. For a two-up ride combine the solo seat with the matching Sundowner Passenger Pillion P/N 52400066 (sold separately)., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000098, ,,,,,212.46,249.95
super-reach-solo-seat-52000099, SUPER REACH SOLO SEAT , Get a little bit closer. Super Reach forward position seats are designed to move riders with a shorter inseam even closer to the controls and to bring the legs about 1.0 closer together so that your feet rest firmly on the pavement. The scooped bucket-shape saddle is enhanced with added back support padding to move the rider up to 1.0 lower and 2.5 forward. The combination positions the rider closer to the hand and foot controls to offer both comfort and confidence. For a two-up ride combine the solo seat with the Touring Passenger Pillion P/N 51898-05A (sold separately). SUPER REACH SOLO SEAT (54380-11 SHOWN) Designed to position riders with a shorter inseam closer to the ground Reach Seats are shaped to place the rider in a comfortable and confident relationship to the hand and foot controls. The wide seating surface provides loads of support while riding and the narrow tapered nose brings your legs together for an easier reach to the ground at a stop. Reach Seats feature a stepped profile that provides back support and keeps the rider from sliding back during acceleration. This Reach Solo Seat is styled to match the Softail Breakout model's Original Equipment seat and features a textured vinyl inlay and Harley-Davidson medallion insert. The seating surface complements the Original Equipment passenger pillion., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000099, ,,,,,212.46,249.95
caf-solo-seat-52000123, CAF SOLO SEAT , DAYMAKER LED HEADLAMPS GLOSS BLACK There's something about the placement of the rider that makes the Cafe Solo Seat special. The one-up design and the high back pad hold the rider in place and provide a direct connection to the bike. You sit in the bike and your hands and feet reach naturally to the controls. The low-slung pad narrow nose and the tapered tail enhance the bike's sporting profile and pays homage to the heritage of the iconic Caf Racer style. Designed specifically for riders requiring a close to the bar riding position this Reach Seat is shaped to place the rider in a comfortable and confident relationship to the hand and foot controls. The seat moves the rider approximately 1.5 lower and 1.25 forward and the 1.25 slimmer front profile brings the legs closer together for an easier reach to the ground at a stop. The Reach Seat features a stepped profile that keeps the rider from sliding back during acceleration., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000123, ,,,,,169.96,199.95
caf-solo-seat-52000124, CAF SOLO SEAT , There's something about the placement of the rider that makes the Cafe Solo Seat special. The one-up design and the high back pad hold the rider in place and provide a direct connection to the bike. You sit in the bike and your hands and feet reach naturally to the controls. The low-slung pad narrow nose and the tapered tail enhance the bike's sporting profile and pays homage to the heritage of the iconic Caf Racer style. Designed specifically for riders requiring a close to the bar riding position this Reach Seat is shaped to place the rider in a comfortable and confident relationship to the hand and foot controls. The seat moves the rider approximately 1.5 lower and 1.25 forward and the 1.25 slimmer front profile brings the legs closer together for an easier reach to the ground at a stop. The Reach Seat features a stepped profile that keeps the rider from sliding back during acceleration. CAF SOLO SEAT E. TALLBOY SEAT The correct riding position can help a tall rider sit comfortably on the bike and avoid leg cramps and back strain during a long day in the saddle. For riders with a longer inseam a Tallboy Seat will put you on the road to fatigue-free riding. Designed to move the rider 1.25 up and 2.5 back from the stock seating position a Tallboy Seat can eliminate the knees-high riding position and effectively places the body for a natural arm and leg reach to the controls., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000124, ,,,,,169.96,199.95
signature-series-solo-52000133, SIGNATURE SERIES SOLO , TALLBOY SEAT '08-'13 MODELS TALLBOY SEAT '97-'07 MODELS The perfect combination of foam density and shape has resulted in our most comfortable seat for long-haul touring. The seat is shaped with a wide seating area to spread the pressure across the broad surface and a narrow nose area to keep your legs together for a shorter reach to the ground. The Signature Series Solo Seat features a built-in fully adjustable and removable rider backrest for added support. The backrest provides a 5-position height adjustment with 1.5 range and a wide range of forward/back adjustment with a quick twist of the control knob. The backrest pad features a sleek shape that provides full lower back support without pushing the rider forward. When combined with the comfortable Passenger Pillion P/N 52000133 or 51770-09 (sold separately) the slim profile of the rider backrest offers the passenger a few more inches of space and the fold-down design permits easy passenger mounting/dismounting. The rich vinyl seating surface is easy to clean and maintain and features an embossed Bar & Shield logo on the side skirts for a finishing touch. SIGNATURE SERIES SOLO SEAT WITH RIDER BACKREST (SHOWN WITH MATCHING PASSENGER PILLION), Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000133, ,,,,,169.95,169.95 169.95
caf-solo-seat-52000168, CAF SOLO SEAT , DAYMAKER LED HEADLAMPS CHROME DAYMAKER LED HEADLAMPS GLOSS BLACK There's something about the placement of the rider that makes the Cafe Solo Seat special. The one-up design and the high back pad hold the rider in place and provide a direct connection to the bike. You sit in the bike and your hands and feet reach naturally to the controls. The low-slung pad narrow nose and the tapered tail enhance the bike's sporting profile and pays homage to the heritage of the iconic Caf Racer style., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000168, ,,,,,186.96,219.95
harley-hammock-rider-and-52000177, HARLEY HAMMOCK RIDER AND , HARLEY HAMMOCK RIDER AND PASSENGER TOURING SEAT Protect the backside of both rider and passenger from harsh road conditions. With its revolutionary suspension systems this Harley Hammock Rider and Passenger Touring Seat offers increased isolation from sharp road impacts. For the rider sling-like fabric suspension system acts like a hammock to reduce impacts and the two inches of traditional foam on top provides additional support. For the passenger a multiple spring-board style suspension system along with two inches of traditional foam provides 15% improvement in passenger comfort. When compared to the Hammock Seat offered on select '14-later CVOTM models this Hammock Seat reduces the bucket shape to accommodate a wide variety of rider sizes and allows fore-and-aft movement to vary the position on a long ride. Available with or without dual-zone heated rider and passenger seating areas this seat's vinyl surface is easy to clean and maintain. Can be equipped with Rider Backrest (sold separately) on most models. 52000177 With Heat. $899.95 Fits '14-later Touring and Tri Glide models. '14-'16 models require separate purchase of Electrical Harness Extension P/N 69200722. '17-later models require Electrical Harness Extension P/N 69201599A. Installation on '14-later Tri Glide models requires removal of grab rail. Seat width 17.0; passenger pillion width 15.0. 52000004A With Heat. $899.95 Fits '09-'13 Touring and Trike models. Also fits '14-later Touring models not equipped with Tour-Pak luggage. '14-'16 models require separate purchase of Electrical Harness Extension P/N 69200722. '17-later models require Electrical Harness Extension P/N 69201599A. Trike models require separate purchase of Paint Guard Kit P/N 52000013. Does not fit models equipped with Passenger Grab Rail. Installation on '12-later CVO models requires removal of fender trim strips. Seat width 17.5; passenger pillion width 15.0., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000177, ,,,,,899.95,899.95 899.95
sundowner-seatsmooth-52000183, SUNDOWNER SEATSMOOTH  , The SundownerTM Seat provides the maximum in long-riding comfort. The deep-bucket design puts your body in the proper touring position and the generous padding makes it comfortable for both the rider and passenger as the miles are adding up. The dished shape provides added rider back support and the wide passenger pillion is shaped to minimize pressure points. A. SUNDOWNER SEAT SMOOTH The smooth cover complements any Touring model. Seat accepts rider backrest for additional touring comfort. SUNDOWNER SEAT SMOOTH (52000128 SHOWN) This Sundowner seat is finished in rich black vinyl and is styled to complement the Freewheeler Trike model's Original Equipment seat., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000183, ,,,,,297.46,349.95
road-zeppelin-air-adjustable-52000201, ROAD ZEPPELIN AIR ADJUSTABLE , HARLEY HAMMOCK RIDER TOURING SEAT '08 MODELS The open road. That's where we developed and tested the revolutionary comfort of the Road Zeppelin Seat. This remarkable seat removes pressure points and hot spots by adjusting the amount of air contained in each bladder within the seat. Easyto-reach rocker switches on the side of the seat control the built-in compressor adding and bleeding off air with the quick push of a button to help relieve stress from the lower back tailbone or lower extremities. On a long run occasionally inflating and deflating the air bladders reduces the numb butt effect by improving the blood flow to the extremities. So grab a seat. And enjoy the ride. A. ROAD ZEPPELIN AIR ADJUSTABLE SEAT The Road Zeppelin seat's ergonomically-friendly design combines a narrow front nose for ease of touching the ground at a stop with a wide seating surface for long range rider and passenger comfort. The easy-to-clean vinyl seat is finished with an embroidered Road Zeppelin logo that lets everyone see that you take riding comfort seriously. The slotted seat accepts an optional rider backrest or passenger grab rail for additional touring comfort. 52000201 $739.95 Fits '08-later Touring and '09-later Tri Glide models. '14-'16 models require separate purchase of Electrical Harness Extension P/N 69200722. '17-later models require Electrical Harness Extension P/N 69201599A. Installation on some '12'13 CVOTM models requires removal of fender trim strips. Seat width 20.0; passenger pillion width 14.5., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000201, ,,,,,628.96,739.95
signature-series-solo-52000203, SIGNATURE SERIES SOLO , SIGNATURE SERIES SOLO SEAT WITH RIDER BACKREST A perfect combination of foam density and shape has created our most comfortable seat for long-haul touring. The wideseating area will keep the rider extra comfy on a long trip and when you reach your destination city driving will be easier with the narrow nose that helps keep your legs closer together. Seat features an easily removable adjustable rider backrest that folds down for easier passenger mounting. Rider backrest has a 5-position height adjustment with 1.5 range and a wide range of forward/back angle adjustment with a quick twist of the control knob. Matching Passenger Pillion P/N 52400053 is available for added versatility. SIGNATURE SERIES SOLO SEAT WITH RIDER BACKREST Ride sun-up to sun-down in comfort and style. The SundownerTM Solo Seat's shape and foam density were developed and refined during hundreds of hours of test rides and ergonomic evaluations. The unique seat features a deep bucket design that cradles the tailbone and provides back support for the rider. The narrow nose of the seat was sculpted to bring the legs closer together and to look great with any size Sportster fuel tank. The seat is constructed with premium textured vinyl surfaces for comfort and durability and features embroidered Bar & Shield logos for style. For two-up riding simply add the comfortable Sundowner Passenger Pillion P/N 52400121. This carefully styled pillion matches the Sportster Signature Series Solo Seat and provides your passenger with a wide seating surface for hours of comfort. QUICK-RELEASE RIDER BACKREST Add exceptional comfort for open road and around town riding. This detachable rider backrest is shaped for maximum lower back support and keeps you in place without shifting you forward in the saddle. Designed to complement Original Equipment and accessory solo seats the backrest's forward/ back position can be adjusted up to 4.5 with a simple fingertip adjustment. The fold-down pad clears the way when throwing your leg over the bike and the backrest can be removed from the bike with the push of a buttonleaving behind just two elegant docking points. Complete kit includes upright pad fender strut brackets and all required hardware., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000203, ,,,,,212.46,249.95
super-reach-solo-seat-52000207, SUPER REACH SOLO SEAT , Get a little bit closer. Super Reach forward position seats are designed to move riders with a shorter inseam even closer to the controls and to bring the legs closer together so that your feet rest firmly on the pavement. After hundreds of hours of on-road and ergonomic testing the seat shape and foam density were selected as the ideal position for riders 5'-0 to 5'-4 tall. The Super Reach Seat moves the rider 1.5 closer to the controls compared to stock seat on XL883L model and 2 closer and .5 lower compared to stock seat on XL1200C model. The nose is 1.0 narrower than the stock seat and it is tastefully sculpted to look great with any size Sportster fuel tank. The combination of premium textured and smooth vinyl surfaces and charcoal gray stitching and embroidered Bar & Shield logo really set the seat apart. For the ultimate solo touring setup add the Quick Release Rider Backrest P/N 52300245., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000207, ,,,,,212.46,249.95
super-reach-solo-seat-52000209, SUPER REACH SOLO SEAT , Get a little bit closer. Super Reach forward position seats are designed to move riders with a shorter inseam even closer to the controls and to bring the legs closer together so that your feet rest firmly on the pavement. After hundreds of hours of on-road and ergonomic testing the seat shape and foam density were selected as the ideal position for riders 5'-0 to 5'-4 tall. The Super Reach Seat moves the rider 1.5 closer to the controls compared to stock seat on XL883L model and 2 closer and .5 lower compared to stock seat on XL1200C model. The nose is 1.0 narrower than the stock seat and it is tastefully sculpted to look great with any size Sportster fuel tank. The combination of premium textured and smooth vinyl surfaces and charcoal gray stitching and embroidered Bar & Shield logo really set the seat apart. For the ultimate solo touring setup add the Quick Release Rider Backrest P/N 52300245. Designed specifically for riders requiring a close to the bar riding position without compromising comfort. This seat positions the rider approximately .5 forward closer to the hand and foot controls. The narrow front profile brings your legs closer together to help you plant your feet firmly on the ground. The slightly bucketed rider seat offers lower back support and features a textured insert to prevent you from sliding around while riding. SUPER REACH SOLO SEAT Stretch your legs in style. The Tallboy Solo Seat allows additional leg and arm movement for the long-limbed rider and the long seating space permits fore and aft repositioning while on the open road. The Tallboy Solo Seat moves the rider back 2.5 and up 2.0 compared to the Original Equipment seat on the XL883L model and 2.0 back and 1.0 up compared to stock seat on XL1200C models. The seat shape and foam density were carefully selected after hundreds of hours of real world testing and are ideal for riders 5'-9 to 6'-2 tall. The seat features a tapered tail to minimize the profile and it is crafted with premium vinyl surfaces for durability. QUICK-RELEASE RIDER BACKREST Add exceptional comfort for open road and around town riding. This detachable rider backrest is shaped for maximum lower back support and keeps you in place without shifting you forward in the saddle. Designed to complement Original Equipment and accessory solo seats the backrest's forward/ back position can be adjusted up to 4.5 with a simple fingertip adjustment. The fold-down pad clears the way when throwing your leg over the bike and the backrest can be removed from the bike with the push of a buttonleaving behind just two elegant docking points. Complete kit includes upright pad fender strut brackets and all required hardware., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000209, ,,,,,220.96,259.95
leather-badlander-seat-52000211, LEATHER BADLANDER SEAT , The traditional Badlander seat's low and lean style sets the stage for your minimalist custom ride. The frame-hugging rider seat and the slim tapered passenger pillion visually stretch the bike and enhance the slammed look. The seat shape stays low along its entire length and follows the lines of the bike with minimal disruption and delivers a riding position that is lower and generally further back than the stock seat. Ideal for both short riders needing to be closer to the ground or for tall riders that want to move back in the bike without sitting higher. This seat is wrapped in supple top-grain leather and finished with an embroidered Harley-Davidson script. Kit includes leather grab strap and mounting hardware. LEATHER BADLANDER SEAT It's good to be bad. The low and lean Badlander Custom Seat is designed to fit your bike like a glove. The Badlander Seat delivers low-slung cruiser style from the fuel tank to the rear fender and gives you the feeling of sitting in the bike and not on top of it. Ideal for both short riders needing to be closer to the ground or for tall riders that want to move back in the bike without sitting higher the seat delivers a riding position that is lower and generally further back than the stock seat. This Badlander Seat features rich textured vinyl seating surfaces for durability and charcoal black leather side panels and dark gray stitching and Harley-Davidson embroidered script for style. The narrow nose of the seat is sculpted to complement any size Sportster fuel tank., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000211, ,,,,,212.46,249.95
low-profile-solo-touring-52000248, LOW-PROFILE SOLO TOURING , LOW-PROFILE SOLO TOURING SEATS AND PILLIONS Set your custom bagger apart with a Low-Profile Solo Seat that combines street-rod style with a surprising touch of comfort. Start with a shape that distributes your weight across a wide surface area to reduce pressure points. Then add a tapered nose that brings the legs closer together to shorten the reach to the ground. The result is the slammed custom seat that you crave; with enough comfort and support to let you actually spend time in the saddle. Finish the look with your choice of matching passenger pillion sissy bar pad and Tour-Pak backrest pad. E. LOW-PROFILE SOLO TOURING SEAT SMOOTH VINYL Wrapped in supple black vinyl this Low Profile Solo Seat is shaped to hug the frame and place the rider in the bike not on top of it. The slight bucket shape cradles the rider and keeps them from sliding rearward during acceleration. LOW-PROFILE SOLO TOURING SEAT SMOOTH VINYL (SHOWN WITH LOW-PROFILE PASSENGER PILLION) LOW-PROFILE SOLO TOURING SEAT BLACK DIAMOND Swathed in textured black vinyl this Low Profile Solo Seat features a custom diamond-pleated seating surface highlighted with double-row toast-colored accent stitching. The rich materials add an elegant finish to your custom bagger., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000248, ,,,,,305.96,359.95
low-profile-solo-touring-52000249, LOW-PROFILE SOLO TOURING , LEATHER LOW-PROFILE BUCKET SEAT LOW-PROFILE SOLO TOURING SEATS AND PILLIONS Set your custom bagger apart with a Low-Profile Solo Seat that combines street-rod style with a surprising touch of comfort. Start with a shape that distributes your weight across a wide surface area to reduce pressure points. Then add a tapered nose that brings the legs closer together to shorten the reach to the ground. The result is the slammed custom seat that you crave; with enough comfort and support to let you actually spend time in the saddle. Finish the look with your choice of matching passenger pillion sissy bar pad and Tour-Pak backrest pad. E. LOW-PROFILE SOLO TOURING SEAT SMOOTH VINYL Wrapped in supple black vinyl this Low Profile Solo Seat is shaped to hug the frame and place the rider in the bike not on top of it. The slight bucket shape cradles the rider and keeps them from sliding rearward during acceleration. LOW-PROFILE SOLO TOURING SEAT SMOOTH VINYL (SHOWN WITH LOW-PROFILE PASSENGER PILLION), Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000249, ,,,,,254.96,299.95
super-reach-seat-52000253, SUPER REACH SEAT  , Designed to position riders with a shorter inseam closer to the ground Reach Seats are shaped to place the rider in a comfortable and confident relationship to the hand and foot controls. The wide seating surface provides loads of support while riding and the narrow tapered nose brings your legs together for an easier reach to the ground at a stop. Reach Seats feature a stepped profile that provides back support and keeps the rider from sliding back during acceleration. A. SUPER REACH SEAT Get a little bit closer. Super Reach forward position seats are designed to move riders with a shorter inseam even closer to the controls and to bring the legs about 1.0 closer together so that your feet rest firmly on the pavement. The scooped bucket-shape saddle is enhanced with added back support padding to move the rider lower and forward.* The combination positions the rider closer to the hand and foot controls to offer both comfort and confidence. Seat can be equipped with optional rider backrest for added support and comfort. SUPER REACH SEAT From the custom metal Bar & Shield medallion to the sleek fast-back design this seat is shaped to deliver the ergonomic position that a shorter rider needs. Sculpted and molded to ease the reach to the ground this Reach Solo seat places the rider 3/8 lower and 1-1/4 forward when compared to the stock FLHX seat*. The narrow nose and the low overall height provides the rider with added confidence and control while the bike is at a stop or during parking maneuvers while the generous seating width adds support for the long haul. And the seat's upturned tail moves you closer to the controls without confining you to one position. For maximum comfort and support this seat is recommended for smaller framed riders between 5'-2 and 5'-8 tall., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000253, ,,,,,280.46,329.95
brawler-solo-seat-52000254, BRAWLER SOLO SEAT , When it's time to go it alone go in style. These premium quality cowhide leather solo saddles feature a smooth sleek design that hugs the frame rails for a true custom look. The Brawler seat's design places the rider in the bike for a low-slung riding position and features a kick-up in the rear to hold the rider in place. The seating position is generally lower than stock but not as far back as Badlander or other low profile seats. The top-grain leather seating surface and contoured foam padding provide a firm but luxurious feel. Seat does not fit with passenger pillions. BRAWLER SOLO SEAT The traditional Badlander seat's low and lean style sets the stage for your minimalist custom ride. The frame-hugging rider seat and the slim tapered passenger pillion visually stretch the bike and enhance the slammed look. The seat shape stays low along its entire length and follows the lines of the bike with minimal disruption and delivers a riding position that is lower and generally further back than the stock seat. Ideal for both short riders needing to be closer to the ground or for tall riders that want to move back in the bike without sitting higher. This seat is wrapped in supple top-grain leather and finished with an embroidered Harley-Davidson script. Kit includes leather grab strap and mounting hardware., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000254, ,,,,,322.96,379.95
brawler-solo-seat-52000257, BRAWLER SOLO SEAT  , When it's time to go it alone go in style. These premium quality cowhide leather solo saddles feature a smooth sleek design that hugs the frame rails for a true custom look. The Brawler seat's design places the rider in the bike for a low-slung riding position and features a kick-up in the rear to hold the rider in place. The seating position is generally lower than stock but not as far back as Badlander or other low profile seats. The top-grain leather seating surface and contoured foam padding provide a firm but luxurious feel. Seat does not fit with passenger pillions. The traditional Badlander seat's low and lean style sets the stage for your minimalist custom ride. The frame-hugging rider seat and the slim tapered passenger pillion visually stretch the bike and enhance the slammed look. The seat shape stays low along its entire length and follows the lines of the bike with minimal disruption and delivers a riding position that is lower and generally further back than the stock seat. Ideal for both short riders needing to be closer to the ground or for tall riders that want to bove back in the bike without sitting higher. This seat is wrapped in supple top-grain leather and finished with an embroidered Harley-Davidson script. Kit includes leather grab strap and mounting hardware., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000257, ,,,,,322.96,379.95
brawler-solo-seat-52000260, BRAWLER SOLO SEAT  , When it's time to go it alone go in style. These premium quality cowhide leather solo saddles feature a smooth sleek design that hugs the frame rails for a true custom look. The Brawler seat's design places the rider in the bike for a lowslung riding position and features a kick-up in the rear to hold the rider in place. The seating position is generally lower than stock but not as far back as Badlander or other low profile seats. The top-grain leather seating surface and contoured foam padding provide a firm but luxurious feel. Seat does not fit with passenger pillions. There's something about the placement of the rider that makes the Caf Solo Seat special. The one-up design features a high back pad that holds the rider in place and provides a direct connection to the bike. You sit in the bike and your hands and feet reach naturally to the controls. The low-slung black vinyl covered pad the narrow nose and the tapered tail enhance the bike's sporting profile and pays homage to the heritage of the iconic Caf Racer style. QUICK-RELEASE RIDER BACKREST Add exceptional comfort for open road and around town riding. This detachable rider backrest is shaped for maximum lower back support and keeps you in place without shifting you forward in the saddle. Designed to complement Original Equipment and accessory solo seats the backrest's forward/ back position can be adjusted up to 4.5 with a simple fingertip adjustment. The fold-down pad clears the way when throwing your leg over the bike and the backrest can be removed from the bike with the push of a buttonleaving behind just two elegant docking points. Complete kit includes upright pad fender strut brackets and all required hardware., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000260, ,,,,,297.46,349.95
brawler-solo-seat-52000266, BRAWLER SOLO SEAT , SIGNATURE SERIES SEAT WITH RIDER BACKREST (SHOWN WITH SMOOTH LOW PASSENGER BACKREST PAD) When it's time to go it alone go in style. These premium quality cowhide leather solo saddles feature a smooth sleek design that hugs the frame rails for a true custom look. The Brawler seat's design places the rider in the bike for a lowslung riding position and features a kick-up in the rear to hold the rider in place. The seating position is generally lower than stock but not as far back as Badlander or other low profile seats. The top-grain leather seating surface and contoured foam padding provide a firm but luxurious feel. Seat does not fit with passenger pillions., Harley Davidson,  , Tags, , Title, Default Title, , , , , 52000266, ,,,,,297.46,349.95
